,class,samples
4871,walking,"[-13.962984 -3.3536380333333335 3.141193 3.3051954999999995
 -2.6527754999999997 3.5355979986112436 1.2509148060095132
 -17.070657999999998 -8.004295033333333 1.134852 8.8836855
 -7.338227999999999 5.270029430252216 -1.0908372665866377
 -18.425776000000006 0.02218636666666655 27.135881 4.568137500000001
 -0.7110775 6.4353081239927725 9.78678975810671]"
5831,walking,"[-10.836157 -3.070324166666667 4.266468 2.83952275 -2.7605145
 3.104677795924939 1.0730419250102576 -19.756952 -9.250078066666667
 1.7525560000000002 5.822699250000001 -8.5856075 4.685702773559081
 -0.2683852424786637 -20.025103 -0.6995856 18.86152 3.0394387500000004
 -0.797269 6.939064050550182 3.2196045396597572]"
5533,walking,"[-14.159308 -3.7833173666666675 1.278504 3.6355944999999994
 -2.9328969999999996 3.360298728869746 1.2084523230274566 -18.11453
 -9.177453833333335 5.214572 5.609614249999998 -10.1418385
 5.245982158233169 0.5840015797786617 -20.077776 -1.3326126 23.582888
 4.3071685 -1.436521 7.410453569469099 4.007314380048743]"
3164,running,"[-4.156333999999998 5.848715566666667 19.67555 7.993042750000001 5.4324435
 5.788970566912743 -0.524969579643741 -6.785167 8.319212533333333
 25.953146 12.297817249999998 8.6622215 8.509237903022655
 -0.7256129269102898 -10.472239 1.7448942333333335 13.79539 6.34583225
 2.0973205 5.6963381387025285 -0.14081946030903802]"
1489,running,"[-6.23929 7.113652266666666 30.11427 16.57386125 4.127604
 10.191902144165354 -0.7723987261185079 -15.993267 10.105446533333332
 33.988087 14.444219000000002 12.203246499999999 12.781107901139155
 -0.3497317995243088 -6.517017 0.8821837000000001 13.345281
 7.186196000000001 0.009576999999999974 4.795119997390257
 -0.24061270143297397]"
3064,running,"[-6.38773 5.3662042 19.85272 11.732784500000001 4.946421000000001
 7.394947568125085 -1.0299931098122967 -11.880029 9.040824933333335
 32.89633 10.558429749999998 8.4108305 10.939172443170941
 -0.23510926461635906 -14.030022 1.0807426999999998 15.26543 6.63193875
 0.215478 6.470429776354403 0.2713679245725844]"
5293,walking,"[-14.839262 -4.336537699999999 0.952892 5.771223 -2.9376855
 3.8218935190709344 -0.006748374495015863 -19.814413 -9.935617800000001
 9.002198 5.025429749999999 -10.814609 5.259556986962067
 3.5531959587425286 -19.977219 -0.49400356666666684 15.873557 3.7553055
 -0.150835 6.415120161344206 2.732076465248805]"
3237,running,"[-21.997925 -0.7596003333333335 16.017210000000002 7.25562825 0.392649
 8.32614910917057 0.4116562328957474 -9.672575 6.581341233333333 26.848577
 14.56392825 6.1530985000000005 9.976436710820128 -0.7260416829982557
 -18.32522 0.16551923333333338 7.714117999999999 6.89530075
 1.3766660000000002 5.811761006606303 1.7016775436064027]"
3420,idle,"[-3.825934 0.2798023333333334 7.637503999999999 0.5003885 0.1388635
 1.6631143371623276 11.090921983151526 -2.001553 5.224307933333334
 7.6614460000000015 1.018733000000001 5.276821 1.9690081521155083
 5.224827047712294 -0.296881 7.589938833333334 9.792285 1.2354077500000002
 7.8218575 1.6992329166370157 12.746866772306067]"
1991,running,"[-6.895301 8.508194733333333 38.33117 15.59104175 5.3390699999999995
 11.415426502883081 0.593452930385225 -13.369223000000002
 8.485370099999999 30.976183 22.370222500000004 6.97431 13.543396590069607
 -1.1852296063987289 -11.18571 2.1820755333333337 29.8126 9.39005925
 0.131681 8.894865245081975 1.6168158328813984]"
5686,walking,"[-17.721882 -2.5921222999999998 2.9257150000000003 2.4277210000000005
 -2.051831 3.9265050524871454 5.295126167594429 -23.262064
 -9.791965833333334 -0.636858 6.93241175 -9.7635545 5.730225571922384
 -0.17209389057357827 -13.302185 -1.1752336333333335 12.023681 2.56299225
 -0.6631940000000001 4.1143795561477265 3.721682821206474]"
1401,running,"[-6.598419 4.528712466666667 32.441433 11.771093 3.0550015000000004
 9.054268491456439 1.0633133537514867 -11.597513 9.256303133333335
 33.49488 18.7609655 11.0300875 12.938342162570864 -0.9995114014419864
 -22.601265 -2.025334966666667 12.933477 3.94085575 -3.0238765
 6.437309120223752 2.297975804752091]"
2571,running,"[-10.204087 5.445053266666666 20.585346 8.4647005 3.7924155
 6.7155498728993495 -0.13302332002380135 -7.426813 10.247662166666666
 29.697678000000003 16.20036575 10.785878499999999 10.829046499683729
 -1.059972860901907 -16.625335999999994 -1.0710061333333332 5.377377
 7.1215530000000005 0.32561149999999994 5.422383401736907
 0.797827759244564]"
4934,walking,"[-7.7093289999999985 -0.2641601666666666 6.607997 4.455609 -0.794875
 3.5940304867952553 -0.4004116169171299 -28.495789 -11.287383933333334
 -1.3982139999999998 6.670247 -10.544064500000001 5.6942532889112565
 1.1154260092728565 -26.532543 -0.9506575999999998 12.526464 8.41322525
 0.758962 7.660302847358912 2.2893741710292534]"
6066,walking,"[-15.112201 -1.4709973333333335 5.971139 4.4017395 -0.6991065000000001
 4.335723060653893 2.125381442481453 -18.478449 -8.7605436 2.667141
 4.101268 -8.868123 4.628648715413622 -0.06063952856930932 -25.94357
 -1.7041925666666669 6.962339 4.240131 -0.9433155 5.681932525576081
 8.519714640247244]"
3311,running,"[-6.124367 6.3419210999999995 23.060951 12.032061 4.3358989999999995
 7.925499784424296 -0.7375321018990486 -12.89517 6.8370421 27.686548
 11.4347075 6.497863500000001 10.616069113957323 -0.608966380024131
 -10.151415 3.1622616999999997 19.661184 8.85495475 4.2305545
 6.51013183947884 -0.1968531397724793]"
4554,walking,"[-9.892841 -2.5434401666666675 6.737284 5.04458275 -2.4995465
 3.7465084845924044 -0.056098101067213246 -15.863979999999998 -9.8821472
 -1.288081 5.141548749999998 -10.591948 3.842422840838632
 -0.4352235951095236 -12.607866 0.5634355333333332 18.698715
 3.9659954999999996 -0.6440400000000001 5.978411592448643
 2.184723223930785]"
5876,walking,"[-17.439365 -5.005637266666666 -0.253785 4.562151249999998 -4.0916905
 3.5275089208660257 2.888894480015832 -14.800954999999998 -7.6983161
 -2.365471 3.506308249999999 -8.0540945 3.039154342039063
 -0.35029684273869943 -21.1408 -2.3319522333333333 2.375048 3.00711725
 -1.2258315 4.666987880489411 6.825593148369723]"
5630,walking,"[-10.376471 -3.279577366666666 5.932832 3.8582554999999994
 -3.4332849999999997 3.4021423516346334 0.5544783689961901 -17.630901
 -8.705955866666669 9.083601 4.60405025 -10.266337 5.67416674098007
 2.7435618864482034 -12.555194 -0.491609366666667 20.51352
 3.8187515000000003 -1.4437035 6.919958418837218 2.5626072123225825]"
5023,walking,"[-7.043741000000002 3.882118333333333 16.132132000000002
 4.9152960000000006 4.113239 4.359851370949346 0.9901363339119249
 -19.378668 -11.663752566666668 -3.907337 7.789535250000001 -12.732365
 4.783994871834254 -1.1886318314838242 -19.038692 -0.5817908999999999
 15.710752 3.11725075 -0.18674749999999998 5.585079458587665
 3.9063412872670726]"
344,running,"[-5.032612 5.592535900000001 25.76161 12.275072250000001 4.762067500000001
 8.741955858988382 -0.509241023545318 -15.729905 7.749392600000001
 28.567616 12.846089000000003 7.0317704999999995 11.299468307187535
 -0.28097623735679633 -13.488933 0.4277640999999998 8.245631 5.9112845
 1.6184805 4.968150220219757 0.7844757963058773]"
3126,running,"[-5.171476 6.569529866666667 39.188293 10.1526125 3.857059
 9.741359437607429 2.43234030633234 -11.81778 5.1117802333333335 24.435223
 19.235016 5.8346695 10.735482743217469 -1.1335258002130568
 -8.796297000000003 1.7605364000000001 25.34023 5.10683275 0.486023
 6.84408375893859 2.9279202485467337]"
2511,running,"[-8.240842 7.8550566 39.188293 16.1225545 3.035848 11.772610777937677
 0.24044267411082565 -14.389153 7.959443966666667 32.513259999999995
 19.24579125 7.8601645 12.811065979143159 -0.9148170302442846 -8.647857
 2.4280399 24.521414 6.690596750000001 0.8188169999999999
 6.686861186760106 2.0123358084597696]"
471,running,"[-4.764461 6.375918800000002 39.188293 8.692149249999998
 3.9049430000000003 9.86849060722852 2.585296962920853 -39.188293
 3.4960134333333324 27.178978000000004 12.570755499999999 4.874595
 14.06572573209408 2.33753858063022 -13.79539 3.8750952999999995 17.03235
 10.0736035 3.8498764999999993 7.280139265965633 -0.2814960058561988]"
1346,running,"[-8.015787 4.438211533333333 18.904617 11.124658250000001
 3.5458125000000003 7.291439710658216 -0.8990631159505442 -10.807426
 7.870379566666666 28.87886 9.14465275 7.386112500000001 9.401699921329133
 -0.29813675239506976 -9.318233 0.7672620666666669 21.677105
 5.078101500000001 -0.2513915 5.514729906993844 5.003251173815675]"
4268,idle,"[0.143652 0.25027390000000005 0.35913 0.022745000000000015
 0.24660300000000002 0.03798529508845056 2.7988710447979237 -0.067038
 -0.011013366666666666 0.076614 0.032321 -0.009577 0.02902538585845539
 1.1634737875808492 9.715671 9.768662299999999 9.801862
 0.02992749999999944 9.773131 0.02249127613416649 -0.24963584826223917]"
656,running,"[-4.999093 7.1749437 35.012802 10.230423250000001 4.7740385000000005
 9.139658708340713 1.315490960513591 -14.690822 7.554823633333334
 30.813375 17.80328375 7.943962 11.642015767337691 -0.7958825365986901
 -8.853758000000003 1.1857684000000002 27.528532 5.84783775 -0.318429
 6.949797579205794 4.683850204561621]"
1856,running,"[-8.121132000000001 5.820623533333335 33.308132 13.241132499999999
 4.259285 9.81313939251806 0.4267872867064213 -15.873557 6.565699100000001
 26.393679 15.896301249999997 6.821080499999999 11.485304461700876
 -0.8657376449289407 -22.807165 0.5517837999999997 20.714634 6.22731875
 -0.004788500000000001 7.432562834863098 2.7140128496403966]"
3123,running,"[-8.48984 7.739656100000001 28.984205 15.205574749999998 5.2959745
 10.818481966662365 -0.8725142351880355 -23.918076 10.243352300000002
 39.16914000000001 18.509573500000002 9.8904475 15.697483920688125
 -0.43123158528512295 -6.124367 0.7217721999999999 9.615114 7.20535075
 -0.632069 4.334172588698858 -0.8944824855334321]"
4359,idle,"[-0.019154 0.2521892333333333 0.3304 0.043094999999999994 0.263362
 0.05868922462978665 12.468449041760197 -0.057461 0.005267266666666668
 0.354342 0.037110000000000004 -0.014365 0.07016115940696026
 17.494886231449783 8.585608 9.725726233333331 9.801862
 0.023941999999999908 9.763555 0.2124465884013646 24.651592769454325]"
2991,running,"[-8.63828 5.826369699999999 34.830845000000004 15.76940925 2.3151935
 10.086771241223891 0.3124869516270379 -13.833697 6.847416833333332
 30.588322 15.037980999999998 8.164227499999999 12.52383452379279
 -0.7105549809257594 -10.505757 4.390168 36.521152 15.40070275 1.3958195
 11.041090358608527 0.5420904942284843]"
1071,running,"[-13.273454999999998 -2.6052107333333336 6.411672 7.6734160000000005
 -1.3838485 5.095153629845992 -0.721623651200527 -15.088259
 7.787859433333334 26.690561 16.953342250000002 8.652645
 10.279931099594608 -0.7060300157266042 -6.1818290000000005 0.7987058
 12.009315 4.8530465000000005 0.859518 4.273578822349549
 -0.03282532676785177]"
100,running,"[-8.331821000000001 5.8471195 26.575640000000003 13.743915 3.713407
 9.590173104311166 -0.3903269850704918 -16.548721 8.101340266666666
 32.858025 19.136854250000003 6.488287 13.079521214211983
 -0.6463645099468414 -16.510414 0.4473967333333332 13.560759 5.45638525
 -0.6967125000000001 5.683812404020861 1.3037684113086438]"
1565,running,"[-8.75799 5.0300582999999985 24.98589 11.300631249999999 5.525818
 8.249503418900881 -0.4055698783663635 -15.576676 6.2431204 33.466152
 14.361618499999999 4.0198645 12.0681821240757 -0.07319678534382001
 -6.038176 3.805344266666667 39.188293 7.3837185000000005 1.4987705
 10.590045374848128 3.775480626684385]"
2081,running,"[-7.244853999999999 7.658412866666667 38.33117 8.716091 7.117962
 9.509102730393327 1.6762316234907555 -15.863979999999998
 8.584649733333332 30.976183 23.37339375 7.180211499999999
 14.508140996595996 -1.1880688007415645 -10.405201 1.3402741666666667
 29.8126 9.19014275 0.33039949999999996 8.280744432780734
 2.518280395392293]"
1595,running,"[-4.6639050000000015 6.249664566666667 30.11427 9.733627 3.2585085
 7.707833916621798 1.191620437564879 -12.076353 10.495382233333334
 33.988087 13.9977005 9.5504705 13.08236572174464 -0.7947448075317949
 -6.349423000000002 1.1193691666666672 13.345281 5.0577517499999995
 0.49320549999999996 4.290649997196416 0.6106157100433349]"
5373,walking,"[-7.445967 -0.1340751999999999 7.546524000000002 5.6371477500000005
 -0.794875 3.8741046215883603 -0.7915226533135926 -28.495789
 -10.149659366666667 5.272033 7.418434249999997 -10.544064500000001
 6.656044820365308 0.7668149667040991 -26.532543 -0.28762333333333323
 9.107543 7.3106955 0.9768345 6.651865524917247 5.651841944176708]"
4647,walking,"[-8.868122999999997 -1.1348513999999996 4.955998 3.713407 -0.9002195
 3.291144615065824 -0.20274212260569602 -21.796812 -9.704816733333335
 11.482592 8.374918000000003 -10.529699 7.53919558271834
 0.8611114976134067 -19.88145 -0.12242326666666674 9.198523 5.5461685
 0.36391900000000005 6.160033795607515 2.8009943687253323]"
2257,running,"[-25.723303 -3.7580984333333336 3.241749 6.86297925 -2.8706475
 5.617227822774931 5.231719411891001 -10.13705 7.689218333333335 27.576416
 13.480552749999998 8.1474685 9.769011152350823 -0.6933870907699218
 -17.568651000000006 -0.8585605333333339 9.528923 5.8969185 -0.6847415
 5.720857194960349 1.0598345890119036]"
5152,walking,"[-12.20564 -4.3520201 -0.507571 4.0090900000000005 -3.871424
 3.14010722792656 -0.39513133185281957 -18.918982 -9.413522133333334
 -1.264138 5.640739000000001 -9.284714000000001 4.767410247053815
 -0.7314573682568963 -18.397045 -2.8724035999999997 2.959233 3.49194325
 -1.6041150000000002 5.616164673601873 1.7279386842973574]"
4252,idle,"[-1.728614 0.018036466666666664 2.341529 0.07541724999999999 0.23942
 0.7507708248958856 2.340218914807405 -0.995988 1.6976486666666668
 7.015011 4.78720575 -0.0095765 2.8281430853296343 -0.8545221274632886
 6.5026519999999985 9.093657066666664 10.515334 1.2042827500000008
 9.756371999999999 1.2034457281447837 -0.2966324005340164]"
1721,running,"[-8.451532 8.8446601 38.647205 16.61336525 6.2584435 13.037061973855888
 -0.02485869913242622 -21.35628 6.8747107 30.29144 22.23255725
 7.1059909999999995 14.48017184434811 -0.912752751655824 -25.25404
 -1.7969279666666664 15.959748 10.77151375 -1.9464855 9.435291344301902
 0.05052703649339252]"
495,running,"[-5.822698 5.320874033333333 22.73055 9.08120675 4.5346185000000006
 7.346392349530993 -0.1581532243399968 -16.893488 7.476613166666666
 33.274615999999995 16.267404 7.5776485000000005 12.735353784733567
 -0.6999232411723528 -8.111555000000001 0.6351021 27.988218 6.95036725
 -0.840365 7.289742747122194 4.488950407623369]"
4072,idle,"[-0.833182 -0.15083473333333333 0.775721 0.7266407500000001 -0.150835
 0.46424088470706193 -1.0248716564902012 4.505888 5.625097266666668
 6.59842 0.9708487500000009 5.635950999999999 0.5799663102229264
 -1.0453608052021328 5.995081 7.834147333333333 9.054871
 0.7146692499999983 8.02297 0.5811301399754524 1.593507080616301]"
104,running,"[-7.690175999999999 3.074953133333333 22.4624 9.18655175 2.1571755
 6.834522600627785 0.3476181385072534 -7.1251440000000015
 9.591491266666669 25.82386 14.92305925 8.614338 9.964594206437855
 -0.9938125757145606 -16.060305 2.758439733333333 22.826319
 9.906010249999998 2.200271 7.51726853820288 0.725327998937757]"
4744,walking,"[-13.445837 -4.0944039666666665 5.750873 4.94402625 -3.0789429999999998
 4.3641402687992095 -0.36398373994005917 -20.590134 -9.1680366 9.270349
 5.640739250000003 -10.1442325 6.191155093955513 1.354095081723023
 -14.705187 -0.14125779999999974 22.821531 3.6535515 -0.5626375
 6.194442816715626 4.775028921832691]"
719,running,"[-5.659893 9.800904133333335 37.96725 15.543157249999998 8.8729115
 11.845710564592967 -0.2781701603877704 -18.29649 8.597418799999998
 39.188293 23.440432249999997 8.559271500000001 16.666550893923635
 -0.9107407271109866 -18.191145 0.796471233333333 15.59583 6.50265225
 0.1460465 6.792472823368515 1.2611363673343021]"
5987,walking,"[-16.266207 -0.047245433333333406 9.32781 7.489062499999999
 0.05746100000000001 5.749803356424192 0.505957260181217 -24.430433
 -9.030928733333331 14.250289000000002 8.213309499999998 -9.320627
 8.430837487213912 0.9702817681680371 -23.463177 -2.2189461000000006
 6.66067 7.155071499999999 -0.670376 6.678013931291989 1.7149250439442385]"
5522,walking,"[-15.739482 -3.032655333333333 1.288081 4.325125 -2.221819
 3.9581744267015937 3.0064956208334985 -18.310854 -10.4800591 -1.16837
 5.324704750000002 -11.149797 4.306728921079906 -0.4554786988291508
 -11.616667 -0.2497949 27.672184 4.63397725 -0.8140285 7.315998685302395
 5.900088609704403]"
5281,walking,"[-21.485565 -0.27389656666666673 12.952631 6.339845500000001 -1.0845735
 5.716398655715285 4.623503760123563 -25.01462 -10.2835751 6.23929
 7.480683250000001 -10.1657805 6.436229301429237 0.22763159429922641
 -17.707516000000005 -2.602337633333334 6.526594 5.0804955 -1.362301
 5.769003980249264 1.4805264392618396]"
414,running,"[-9.308656 5.2171253 28.88365 15.25705 4.1084505 10.815552897895602
 -0.37887538837345325 -17.808075 9.459012033333332 39.08774 18.054674
 7.5489180000000005 13.823662063238592 -0.48540977716857014 -13.388376
 -0.43398879999999973 9.030929 6.653486 -0.7781155 5.559196929961661
 0.10982261677916538]"
